-2 -14 => -3 1.0
4 -5 => 2 1.0
-24 -9 => -31 1.0
10 7 => 19 0.166666666667
10 7 => 8 0.166666666667
10 7 => 2 0.333333333333
10 7 => 5 0.166666666667
10 7 => 14 0.166666666667
5 7 => 8 0.285714285714
5 7 => 3 0.714285714286
-7 -15 => -12 1.0
14 19 => 14 0.5
14 19 => 7 0.5
0 -7 => 12 1.0
9 3 => 15 1.0
17 12 15 => 20 1.0
18 12 7 => -14 0.5
18 12 7 => -17 0.5
8 2 => 5 1.0
7 -5 => 19 0.166666666667
7 -5 => -10 0.333333333333
7 -5 => -1 0.166666666667
7 -5 => -9 0.333333333333
-5 -3 => -6 1.0
15 4 => 16 1.0
-7 -1 => 6 1.0
-9 3 => 7 1.0
7 6 => 8 0.125
7 6 => 7 0.5
7 6 => -3 0.375
10 => 11 0.02
10 => 12 0.06
10 => 15 0.06
10 => 14 0.1
10 => 17 0.04
10 => -7 0.04
10 => 22 0.12
10 => -21 0.04
10 => -22 0.02
10 => -5 0.02
10 => -10 0.04
10 => 3 0.02
10 => 7 0.12
10 => 9 0.08
10 => 8 0.22
-13 14 => 19 0.5
-13 14 => 2 0.5
2 -4 => -13 0.333333333333
2 -4 => 5 0.666666666667
21 19 => 18 1.0
16 14 => 13 0.5
16 14 => 12 0.5
11 7 12 => 14 1.0
14 -19 => 17 1.0
