-27 => 0 0.0298507462687
-27 => 19 0.0149253731343
-27 => -24 0.044776119403
-27 => 3 0.0149253731343
-27 => 2 0.044776119403
-27 => -15 0.507462686567
-27 => 4 0.0149253731343
-27 => 7 0.044776119403
-27 => 9 0.044776119403
-27 => 5 0.119402985075
-27 => 21 0.044776119403
0 -20 => -8 1.0
-8 -31 => 21 1.0
4 -20 => 0 1.0
-22 7 => 5 0.333333333333
-22 7 => -32 0.666666666667
-20 -17 => 3 0.2
-20 -17 => 12 0.2
-20 -17 => -21 0.6
-29 21 => -32 1.0
4 129 => -5 0.5
4 129 => -24 0.5
-15 9 => -24 1.0
0 5 => 6 1.0
24 3 => 27 1.0
0 5 6 => -17 1.0
-17 3 => 0 0.375
-17 3 => 12 0.125
-17 3 => 7 0.5
-24 -9 => 0 1.0
-5 21 => 7 1.0
-1 -17 => 4 1.0
9 -29 => 3 1.0
7 -5 => -32 0.666666666667
7 -5 => -31 0.333333333333
-3 -22 => 7 1.0
-32 => 13 0.0140845070423
-32 => 21 0.0140845070423
-32 => 0 0.0281690140845
-32 => 16 0.0140845070423
-32 => -20 0.43661971831
-32 => -4 0.0422535211268
-32 => 3 0.0704225352113
-32 => 2 0.0140845070423
-32 => -1 0.0140845070423
-32 => 4 0.112676056338
-32 => 7 0.0845070422535
-32 => 9 0.056338028169
-32 => 5 0.0845070422535
-32 => 14 0.0140845070423
-2 -32 => -1 1.0
22 -5 => 19 1.0
5 -32 => 3 1.0
0 -29 => 3 0.5
0 -29 => 2 0.5
-20 -34 => 11 0.5
-20 -34 => -22 0.5
10 => 9 0.166666666667
10 => 0 0.166666666667
10 => -24 0.166666666667
10 => 7 0.5
26 => 24 1.0
-27 9 => 6 1.0
-22 7 -32 => 13 0.5
-22 7 -32 => -20 0.5
-29 -17 => 12 0.0769230769231
-29 -17 => 20 0.0384615384615
-29 -17 => -7 0.0384615384615
-29 -17 => -27 0.576923076923
-29 -17 => -32 0.0384615384615
-29 -17 => -4 0.0384615384615
-29 -17 => 3 0.0769230769231
-29 -17 => 7 0.0384615384615
-29 -17 => -8 0.0769230769231
12 0 => -27 0.2
12 0 => -32 0.2
12 0 => -22 0.4
12 0 => -31 0.2
-32 -4 -3 => -34 0.666666666667
-32 -4 -3 => -31 0.333333333333
-31 7 -3 => -30 1.0
6 => -29 0.112903225806
6 => -24 0.0483870967742
6 => -36 0.0322580645161
6 => -20 0.0322580645161
6 => -32 0.0322580645161
6 => -31 0.0322580645161
6 => -17 0.112903225806
6 => -12 0.0483870967742
6 => -15 0.0161290322581
6 => 7 0.483870967742
6 => -19 0.0161290322581
6 => 129 0.0161290322581
6 => 5 0.0161290322581
3 -19 => 4 1.0
-17 0 => -21 0.5
-17 0 => -17 0.5
12 10 => 9 0.5
12 10 => 0 0.5
21 -19 => -36 0.5
21 -19 => -27 0.5
7 -32 -20 => -31 0.5
7 -32 -20 => 7 0.5
0 -27 -15 => -8 0.5
0 -27 -15 => -29 0.5
-19 7 => -27 1.0
21 -8 => -31 1.0
129 6 => -31 1.0
-24 129 => -12 1.0
-25 -22 => -26 1.0
7 -17 => -21 0.142857142857
7 -17 => -5 0.142857142857
7 -17 => 0 0.142857142857
7 -17 => 5 0.285714285714
7 -17 => 4 0.142857142857
7 -17 => 7 0.142857142857
-16 => 9 1.0
-24 -17 => -3 1.0
-3 -30 => 9 1.0
-3 -27 5 => 4 1.0
-12 21 => 0 1.0
4 -36 => 3 1.0
2 -3 => 0 0.5
2 -3 => -15 0.25
2 -3 => 4 0.25
-27 0 => -24 0.5
-27 0 => 4 0.5
-22 21 => -10 1.0
5 9 => 5 1.0
-27 -24 => 3 0.333333333333
-27 -24 => -28 0.333333333333
-27 -24 => 7 0.333333333333
7 -31 => 5 1.0
-17 -32 -20 => -34 1.0
-34 3 => -22 1.0
2 0 -27 => 2 1.0
-17 5 => -20 0.4
-17 5 => -17 0.6
-32 9 => 129 0.25
-32 9 => 6 0.75
20 21 => 24 0.666666666667
20 21 => -19 0.333333333333
-3 0 => -24 0.5
-3 0 => -29 0.5
12 4 => -21 1.0
-5 129 => 7 1.0
13 12 => -31 1.0
3 -29 -17 => -4 1.0
-24 -9 0 => -32 1.0
-17 4 => 0 1.0
12 0 -32 => 9 1.0
-10 -24 => 21 1.0
-5 -32 => -4 1.0
-18 -29 -17 => 12 1.0
-32 21 => -20 1.0
2 -19 => 0 1.0
-20 0 => 3 0.25
-20 0 => 2 0.25
-20 0 => -34 0.5
-22 5 6 7 => -24 0.5
-22 5 6 7 => -21 0.5
-27 3 => 7 1.0
-32 7 => 0 0.333333333333
-32 7 => -29 0.333333333333
-32 7 => -36 0.333333333333
-36 5 6 => 7 1.0
-36 -24 => -9 1.0
